Feature,Importance
error_count_24h,0.42931356218209044
time_since_last_maintenance,0.32718543425571844
rotate_roll24_mean,0.059628667622746864
volt_roll24_mean,0.050682717893242635
time_since_last_failure,0.04335287329304159
vibration_roll24_mean,0.037186782318315424
pressure_roll24_mean,0.029905868866077507
running_failure_rate,0.0066971618144585085
cumulative_failure_count,0.0044538015530910255
volt_roll24_std,0.003296136676141142
vibration_roll24_std,0.0026867044707095727
failure_interval_days,0.002039391904299325
pressure_roll24_std,0.0018673127952354744
rotate_roll24_std,0.0017035843548319873
